comment_id,sentiment_pred,sarcasm_pred,sentiment_proba_neg,sentiment_proba_neu,sentiment_proba_pos,sarcasm_proba_sarcastic,final_interpretation,sentiment_score,sarcasm_score,confidence_max,neutrality_bias,margin
ncgrcbm,LABEL_1,not sarcastic,0.0016805253,0.9938526,0.004466902,0.0010168671,neutral,0.0027863767,0.0010168671,0.9938526,0.9938526,0.989385698
nc8lzjb,LABEL_1,sarcastic,0.002742789,0.8534857,0.14377145,0.98724246,neutral (sarcastic unclear),0.141028661,0.98724246,0.8534857,0.8534857,0.70971425
nc8ndtx,LABEL_1,not sarcastic,0.0027195297,0.9909355,0.0063448963,0.007186031,neutral,0.0036253666,0.007186031,0.9909355,0.9909355,0.9845906037
nc8n74i,LABEL_1,not sarcastic,0.0032507433,0.9841441,0.012605101,0.0071694655,neutral,0.0093543577,0.0071694655,0.9841441,0.9841441,0.971538999
nc8mqp8,LABEL_1,not sarcastic,0.035333674,0.89452153,0.070144735,0.012778519,neutral,0.034811061,0.012778519,0.89452153,0.89452153,0.824376795
nc8mm3b,LABEL_1,not sarcastic,0.0035012197,0.9914112,0.0050875666,0.029983152,neutral,0.0015863469,0.029983152,0.9914112,0.9914112,0.9863236334000001
nc8mtp3,LABEL_1,not sarcastic,0.16871047,0.74649596,0.0847936,0.0024760196,neutral,-0.08391687,0.0024760196,0.74649596,0.74649596,0.5777854899999999
nc8q95o,LABEL_0,not sarcastic,0.92340815,0.0694106,0.0071812295,0.0011153022,negative,-0.9162269205,0.0011153022,0.92340815,0.0694106,0.85399755
nbdttjj,LABEL_1,sarcastic,0.0015228001,0.99437684,0.0041003963,0.95213336,neutral (sarcastic unclear),0.0025775961999999998,0.95213336,0.99437684,0.99437684,0.9902764437
nbdv6dn,LABEL_1,not sarcastic,0.003582587,0.98413867,0.012278742,0.018746264,neutral,0.008696155,0.018746264,0.98413867,0.98413867,0.971859928
nbdxbde,LABEL_0,not sarcastic,0.97194844,0.02253298,0.0055185934,0.0046663894,neutral,-0.9664298466,0.0046663894,0.97194844,0.02253298,0.94941546
nbeufd0,LABEL_1,not sarcastic,0.0010965642,0.9957569,0.0031464393,0.0008856251,neutral,0.0020498751,0.0008856251,0.9957569,0.9957569,0.9926104606999999
nbdvfl5,LABEL_1,not sarcastic,0.009052313,0.6574202,0.3335275,0.001593617,neutral,0.324475187,0.001593617,0.6574202,0.6574202,0.32389270000000003
nbelqq4,LABEL_0,sarcastic,0.7006631,0.284325,0.015011971,0.9977944,neutral (sarcastic unclear),-0.685651129,0.9977944,0.7006631,0.284325,0.4163381
nbbn3ve,LABEL_1,sarcastic,0.0015338473,0.9944332,0.004032914,0.9614362,neutral (sarcastic unclear),0.0024990667,0.9614362,0.9944332,0.9944332,0.990400286
nbbnoup,LABEL_1,not sarcastic,0.0023457306,0.9847991,0.012855272,0.001512113,neutral,0.010509541399999999,0.001512113,0.9847991,0.9847991,0.971943828
nbbyobl,LABEL_1,not sarcastic,0.0028336598,0.9909039,0.006262421,0.0059799277,neutral,0.0034287612,0.0059799277,0.9909039,0.9909039,0.984641479
nbbxsnl,LABEL_1,not sarcastic,0.002713721,0.9912521,0.006034219,0.0065576634,neutral,0.0033204980000000003,0.0065576634,0.9912521,0.9912521,0.985217881
nbdphve,LABEL_1,not sarcastic,0.001961288,0.9924629,0.005575889,0.00057008036,neutral,0.003614601,0.00057008036,0.9924629,0.9924629,0.9868870110000001
nbf01ry,LABEL_1,not sarcastic,0.02736759,0.9006148,0.0720177,0.019431492,neutral,0.04465011000000001,0.019431492,0.9006148,0.9006148,0.8285971000000001
nbfqaqd,LABEL_1,sarcastic,0.0025466762,0.99035746,0.0070958845,0.9924859,neutral (sarcastic unclear),0.0045492082999999996,0.9924859,0.99035746,0.99035746,0.9832615755
nc3s0z1,LABEL_1,not sarcastic,0.0035679527,0.98130083,0.015131274,0.0014354453,neutral,0.0115633213,0.0014354453,0.98130083,0.98130083,0.966169556
nalqgof,LABEL_1,sarcastic,0.0015417198,0.9944296,0.0040287897,0.9625041,neutral (sarcastic unclear),0.0024870699000000005,0.9625041,0.9944296,0.9944296,0.9904008103
nalrawf,LABEL_1,not sarcastic,0.0026664948,0.99119276,0.006140698,0.006117039,neutral,0.0034742032,0.006117039,0.99119276,0.99119276,0.9850520620000001
naltgp7,LABEL_1,not sarcastic,0.002740289,0.9913589,0.0059008426,0.007893852,neutral,0.0031605536,0.007893852,0.9913589,0.9913589,0.9854580574
nam1gyc,LABEL_1,not sarcastic,0.40518394,0.58172745,0.013088636,0.00060527044,neutral,-0.39209530400000003,0.00060527044,0.58172745,0.58172745,0.17654351000000001
nalwrp8,LABEL_1,sarcastic,0.0027760172,0.99379915,0.003424873,0.99876404,neutral (sarcastic unclear),0.0006488558000000001,0.99876404,0.99379915,0.99379915,0.9903742769999999
nalyugk,LABEL_1,not sarcastic,0.2799068,0.7071785,0.012914769,0.002052881,neutral,-0.266992031,0.002052881,0.7071785,0.7071785,0.42727170000000003
nalvcot,LABEL_1,not sarcastic,0.0019449375,0.9929172,0.005137812,0.039082214,neutral,0.0031928745000000002,0.039082214,0.9929172,0.9929172,0.9877793880000001
nalycdw,LABEL_1,not sarcastic,0.003466922,0.9935168,0.0030163398,0.00055123016,neutral,-0.0004505821999999998,0.00055123016,0.9935168,0.9935168,0.990049878
nalzher,LABEL_0,not sarcastic,0.6836982,0.28136036,0.03494147,0.004178147,neutral,-0.64875673,0.004178147,0.6836982,0.28136036,0.40233784000000006
naiat9n,LABEL_1,sarcastic,0.0015537136,0.9944047,0.0040415884,0.97304386,neutral (sarcastic unclear),0.0024878747999999996,0.97304386,0.9944047,0.9944047,0.9903631116
naibxvp,LABEL_2,sarcastic,0.0011344629,0.0051644817,0.9937011,0.8157542,neutral (sarcastic unclear),0.9925666371,0.8157542,0.9937011,0.0051644817,0.9885366183000001
naiic7d,LABEL_2,not sarcastic,0.0010958258,0.010398999,0.9885052,0.0022156064,neutral,0.9874093742,0.0022156064,0.9885052,0.010398999,0.978106201
naib5vh,LABEL_1,not sarcastic,0.001170972,0.99469805,0.00413105,0.004823094,neutral,0.0029600779999999997,0.004823094,0.99469805,0.99469805,0.990567
naib2mz,LABEL_1,not sarcastic,0.0029358796,0.9905552,0.0065089194,0.0064950357,neutral,0.0035730398000000003,0.0064950357,0.9905552,0.9905552,0.9840462806
naich8r,LABEL_2,not sarcastic,0.0018279381,0.24014486,0.7580272,0.011133195,neutral,0.7561992619,0.011133195,0.7580272,0.24014486,0.51788234
naiecht,LABEL_1,not sarcastic,0.0029460813,0.98827726,0.008776575,0.0011683356,neutral,0.0058304937,0.0011683356,0.98827726,0.98827726,0.9795006850000001
na326dz,LABEL_1,sarcastic,0.0015042576,0.9945135,0.003982309,0.92561114,neutral (sarcastic unclear),0.0024780514,0.92561114,0.9945135,0.9945135,0.9905311910000001
na4by1y,LABEL_1,not sarcastic,0.0011782774,0.9958365,0.002985272,0.00096637034,neutral,0.0018069946000000001,0.00096637034,0.9958365,0.9958365,0.992851228
na362c5,LABEL_1,not sarcastic,0.0028763753,0.7030644,0.29405925,0.0013329294,neutral,0.2911828747,0.0013329294,0.7030644,0.7030644,0.40900515000000004
na4p29q,LABEL_1,not sarcastic,0.0015800963,0.99502534,0.0033945732,0.0008133856,neutral,0.0018144769000000003,0.0008133856,0.99502534,0.99502534,0.9916307668
na42go8,LABEL_1,not sarcastic,0.00086767034,0.99421,0.0049223443,0.0012350726,neutral,0.00405467396,0.0012350726,0.99421,0.99421,0.9892876557
na39nyf,LABEL_1,not sarcastic,0.012382576,0.9392507,0.048366718,0.002575286,neutral,0.035984142000000004,0.002575286,0.9392507,0.9392507,0.890883982
na2sn3a,LABEL_1,sarcastic,0.0015560348,0.9944013,0.0040427884,0.9517222,neutral (sarcastic unclear),0.0024867536000000006,0.9517222,0.9944013,0.9944013,0.9903585116
na30lmn,LABEL_1,not sarcastic,0.0010083896,0.989926,0.009065663,0.002413572,neutral,0.0080572734,0.002413572,0.989926,0.989926,0.980860337
na2t4hs,LABEL_1,not sarcastic,0.030396737,0.8495519,0.120051354,0.0009898207,neutral,0.08965461699999999,0.0009898207,0.8495519,0.8495519,0.729500546
na2vwv7,LABEL_1,not sarcastic,0.0018545429,0.6888876,0.30925778,0.0018461576,neutral,0.3074032371,0.0018461576,0.6888876,0.6888876,0.37962982000000006
na2xrjp,LABEL_2,sarcastic,0.010268318,0.2621972,0.7275345,0.9990765,neutral (sarcastic unclear),0.7172661819999999,0.9990765,0.7275345,0.2621972,0.46533729999999995
na2umfm,LABEL_1,not sarcastic,0.016175237,0.77476364,0.20906113,0.0014339356,neutral,0.192885893,0.0014339356,0.77476364,0.77476364,0.5657025099999999
na35e77,LABEL_2,not sarcastic,0.002440839,0.375136,0.6224232,0.0020483718,neutral,0.6199823609999999,0.0020483718,0.6224232,0.375136,0.24728719999999993
na6sm36,LABEL_1,sarcastic,0.0016633087,0.99009997,0.008236784,0.99602246,neutral (sarcastic unclear),0.0065734753,0.99602246,0.99009997,0.99009997,0.981863186
n8kvex3,LABEL_1,sarcastic,0.0014979461,0.99454546,0.003956594,0.94669944,neutral (sarcastic unclear),0.0024586479,0.94669944,0.99454546,0.99454546,0.990588866
n8kwsnv,LABEL_0,sarcastic,0.51672584,0.4712648,0.01200935,0.98083913,neutral (sarcastic unclear),-0.50471649,0.98083913,0.51672584,0.4712648,0.04546104000000001
n8kxbqn,LABEL_1,not sarcastic,0.0048272302,0.99223244,0.0029402322,0.0021175372,neutral,-0.001886998,0.0021175372,0.99223244,0.99223244,0.9874052098
n8kz5nc,LABEL_1,not sarcastic,0.00263678,0.9913434,0.006019778,0.0055019637,neutral,0.003382998,0.0055019637,0.9913434,0.9913434,0.985323622
n8kvwkz,LABEL_1,not sarcastic,0.22176765,0.72201234,0.056219973,0.00088414375,neutral (sarcastic unclear),-0.165547677,0.00088414375,0.72201234,0.72201234,0.50024469
n8erwuj,LABEL_1,sarcastic,0.0015235337,0.99444616,0.004030221,0.9522058,neutral (sarcastic unclear),0.0025066872999999997,0.9522058,0.99444616,0.99444616,0.990415939
n8ew8s0,LABEL_1,not sarcastic,0.0636106,0.90757287,0.028816525,0.0006770065,neutral,-0.03479407500000001,0.0006770065,0.90757287,0.90757287,0.84396227
n8eti9e,LABEL_1,not sarcastic,0.0023177557,0.976428,0.021254323,0.0023098236,neutral,0.0189365673,0.0023098236,0.976428,0.976428,0.955173677
n8evopk,LABEL_2,sarcastic,0.0008981977,0.042442527,0.9566592,0.94327366,neutral (sarcastic unclear),0.9557610023,0.94327366,0.9566592,0.042442527,0.9142166730000001
n8ffzvi,LABEL_1,not sarcastic,0.011019627,0.98068845,0.008291851,0.018912569,neutral,-0.002727776000000001,0.018912569,0.98068845,0.98068845,0.969668823
n8flpb7,LABEL_2,sarcastic,0.002407812,0.24144875,0.75614345,0.9990767,neutral (sarcastic unclear),0.7537356380000001,0.9990767,0.75614345,0.24144875,0.5146947000000001
n88rzef,LABEL_1,sarcastic,0.001552053,0.9943656,0.0040824893,0.9768902,neutral (sarcastic unclear),0.0025304362999999993,0.9768902,0.9943656,0.9943656,0.9902831107
n88sjvg,LABEL_1,not sarcastic,0.0034340692,0.9841679,0.012398094,0.0017727036,neutral,0.0089640248,0.0017727036,0.9841679,0.9841679,0.971769806
n891bvi,LABEL_0,not sarcastic,0.98636395,0.009013074,0.0046230936,0.00091873,neutral,-0.9817408564,0.00091873,0.98636395,0.009013074,0.977350876
n89jla2,LABEL_1,not sarcastic,0.0029229643,0.9936586,0.0034184565,0.00062101154,neutral (sarcastic unclear),0.0004954922000000002,0.00062101154,0.9936586,0.9936586,0.9902401434999999
n898cf5,LABEL_0,not sarcastic,0.8053333,0.16883399,0.025832763,0.0008260238,neutral,-0.779500537,0.0008260238,0.8053333,0.16883399,0.63649931
n88x9sv,LABEL_1,not sarcastic,0.0068256455,0.9527307,0.04044367,0.0027334562,neutral,0.0336180245,0.0027334562,0.9527307,0.9527307,0.91228703
n7okk7k,LABEL_1,sarcastic,0.0015547844,0.9944307,0.00401446,0.96084046,neutral (sarcastic unclear),0.0024596756,0.96084046,0.9944307,0.9944307,0.99041624
n7om6v8,LABEL_1,not sarcastic,0.00094985956,0.9958674,0.0031827523,0.0005021385,neutral,0.0022328927400000003,0.0005021385,0.9958674,0.9958674,0.9926846477
n7p0aqv,LABEL_1,not sarcastic,0.0020309489,0.99212235,0.0058467435,0.010059442,neutral,0.0038157946,0.010059442,0.99212235,0.99212235,0.9862756065
n7z272g,LABEL_2,not sarcastic,0.0015041223,0.042492803,0.9560031,0.0005953631,neutral (sarcastic unclear),0.9544989777,0.0005953631,0.9560031,0.042492803,0.913510297
n7ou67r,LABEL_1,not sarcastic,0.00097207946,0.99439657,0.0046313726,0.0012902042,neutral,0.00365929314,0.0012902042,0.99439657,0.99439657,0.9897651974
n80wzss,LABEL_1,not sarcastic,0.0022036505,0.99413884,0.0036575112,0.0006667232,neutral,0.0014538607000000002,0.0006667232,0.99413884,0.99413884,0.9904813288
n7mw0yd,LABEL_1,sarcastic,0.001526264,0.99437165,0.004101981,0.96901816,neutral (sarcastic unclear),0.002575717,0.96901816,0.99437165,0.99437165,0.990269669
n7mwft4,LABEL_0,sarcastic,0.9434142,0.03582827,0.020757597,0.95354074,neutral (sarcastic unclear),-0.922656603,0.95354074,0.9434142,0.03582827,0.90758593
n7n5apf,LABEL_1,not sarcastic,0.0025038868,0.99209493,0.0054012253,0.005852909,neutral,0.0028973384999999995,0.005852909,0.99209493,0.99209493,0.9866937047000001
n7mxg1n,LABEL_1,not sarcastic,0.11762452,0.86328655,0.019088943,0.0015681725,neutral,-0.098535577,0.0015681725,0.86328655,0.86328655,0.74566203
n7mymfg,LABEL_0,not sarcastic,0.69826317,0.24309446,0.05864233,0.024047265,neutral,-0.6396208400000001,0.024047265,0.69826317,0.24309446,0.45516871000000003
n7n1g4j,LABEL_1,not sarcastic,0.0041915774,0.99093974,0.0048686643,0.0017032097,neutral,0.0006770868999999994,0.0017032097,0.99093974,0.99093974,0.9860710757
n7n08tm,LABEL_1,sarcastic,0.032023165,0.9604225,0.007554297,0.64393586,neutral (sarcastic unclear),-0.024468867999999998,0.64393586,0.9604225,0.9604225,0.9283993349999999
n7lm42o,LABEL_1,sarcastic,0.001566975,0.99440753,0.004025444,0.95798945,neutral (sarcastic unclear),0.0024584690000000005,0.95798945,0.99440753,0.99440753,0.990382086
n7lvehw,LABEL_1,not sarcastic,0.009840319,0.98494786,0.005211802,0.00066768465,neutral,-0.004628517,0.00066768465,0.98494786,0.98494786,0.975107541
n7lnvaj,LABEL_1,not sarcastic,0.031518303,0.95849365,0.009988094,0.0005579226,neutral,-0.021530208999999998,0.0005579226,0.95849365,0.95849365,0.926975347
n7lm5fs,LABEL_0,sarcastic,0.859375,0.13009152,0.010533435,0.999501,neutral (sarcastic unclear),-0.848841565,0.999501,0.859375,0.13009152,0.72928348
n7ykpis,LABEL_1,sarcastic,0.0025733316,0.9842482,0.01317848,0.99785715,neutral (sarcastic unclear),0.0106051484,0.99785715,0.9842482,0.9842482,0.97106972
n7yuciv,LABEL_1,not sarcastic,0.0032333166,0.99381024,0.0029564563,0.0007421775,negative,-0.00027686029999999997,0.0007421775,0.99381024,0.99381024,0.9905769233999999
n7pbsd7,LABEL_1,not sarcastic,0.0791419,0.8624595,0.058398567,0.002145545,neutral,-0.020743333000000003,0.002145545,0.8624595,0.8624595,0.7833176000000001
n7ak3rw,LABEL_1,sarcastic,0.0015528386,0.99436706,0.004080094,0.95649385,neutral (sarcastic unclear),0.0025272554,0.95649385,0.99436706,0.99436706,0.990286966
n7amzs7,LABEL_1,sarcastic,0.02515453,0.863508,0.11133749,0.8773578,neutral (sarcastic unclear),0.08618296,0.8773578,0.863508,0.863508,0.75217051
n7bms5a,LABEL_1,not sarcastic,0.0027796675,0.99108374,0.0061366335,0.0064369803,neutral,0.0033569659999999994,0.0064369803,0.99108374,0.99108374,0.9849471065
n7anyl7,LABEL_1,not sarcastic,0.017141206,0.58003163,0.40282714,0.0019083504,neutral,0.38568593399999995,0.0019083504,0.58003163,0.58003163,0.17720449000000005
n7ax48c,LABEL_1,not sarcastic,0.001834681,0.9950053,0.0031599826,0.002722927,neutral,0.0013253016000000003,0.002722927,0.9950053,0.9950053,0.9918453173999999
n7c8607,LABEL_0,not sarcastic,0.98391867,0.011376723,0.0047046077,0.00055739965,positive,-0.9792140623,0.00055739965,0.98391867,0.011376723,0.972541947
n7bzsmy,LABEL_1,not sarcastic,0.0015758366,0.9933035,0.005120671,0.0009945892,neutral,0.0035448344000000003,0.0009945892,0.9933035,0.9933035,0.988182829
n78xrj6,LABEL_1,sarcastic,0.0015293432,0.9943757,0.0040949304,0.96294844,neutral (sarcastic unclear),0.0025655872000000003,0.96294844,0.9943757,0.9943757,0.9902807696
n78yjci,LABEL_1,not sarcastic,0.034982543,0.95887876,0.0061386847,0.000574399,neutral,-0.028843858299999997,0.000574399,0.95887876,0.95887876,0.923896217
n78y9sr,LABEL_1,not sarcastic,0.0024713376,0.991861,0.005667654,0.007880703,neutral,0.0031963164000000004,0.007880703,0.991861,0.991861,0.986193346
n791azz,LABEL_0,not sarcastic,0.8592526,0.1328714,0.007875989,0.0025588898,neutral,-0.8513766110000001,0.0025588898,0.8592526,0.1328714,0.7263812000000001
n78yaw8,LABEL_1,not sarcastic,0.06378533,0.92715365,0.009061133,0.0006344652,neutral,-0.054724197,0.0006344652,0.92715365,0.92715365,0.8633683200000001
n790ghh,LABEL_1,not sarcastic,0.0032393886,0.99276567,0.003994901,0.00076550094,positive,0.0007555124000000004,0.00076550094,0.99276567,0.99276567,0.988770769
n7968a3,LABEL_1,not sarcastic,0.0028303652,0.9910993,0.006070324,0.005659667,neutral,0.0032399588,0.005659667,0.9910993,0.9910993,0.9850289760000001
n75gskq,LABEL_1,sarcastic,0.0015557497,0.9943604,0.0040838793,0.968421,neutral (sarcastic unclear),0.0025281296,0.968421,0.9943604,0.9943604,0.9902765207
n75icu5,LABEL_1,not sarcastic,0.023968644,0.9576022,0.018429032,0.041041613,neutral,-0.005539611999999999,0.041041613,0.9576022,0.9576022,0.933633556
n75hmru,LABEL_1,not sarcastic,0.001360758,0.99356246,0.005076791,0.0034444241,neutral,0.0037160329999999997,0.0034444241,0.99356246,0.99356246,0.988485669
n75j19y,LABEL_1,not sarcastic,0.020111721,0.97288215,0.0070061777,0.0013608963,negative,-0.013105543299999998,0.0013608963,0.97288215,0.97288215,0.952770429
n75gza5,LABEL_1,not sarcastic,0.0029608004,0.9907273,0.006312002,0.005528431,neutral,0.0033512015999999996,0.005528431,0.9907273,0.9907273,0.9844152979999999
n75i34m,LABEL_1,not sarcastic,0.00603012,0.96886104,0.025108913,0.0009725435,neutral,0.019078793,0.0009725435,0.96886104,0.96886104,0.943752127
n768ywi,LABEL_0,not sarcastic,0.8891676,0.10265526,0.008177089,0.00080687366,neutral,-0.8809905109999999,0.00080687366,0.8891676,0.10265526,0.7865123399999999
n6ukun4,LABEL_1,sarcastic,0.0015519734,0.99444973,0.003998308,0.9582667,neutral (sarcastic unclear),0.0024463346,0.9582667,0.99444973,0.99444973,0.990451422
n6umgw1,LABEL_1,not sarcastic,0.0025105248,0.9919864,0.0055030733,0.0024096374,neutral,0.0029925485000000004,0.0024096374,0.9919864,0.9919864,0.9864833267
n6upa4i,LABEL_1,not sarcastic,0.0015633816,0.9935895,0.0048471596,0.0018544642,neutral,0.0032837780000000002,0.0018544642,0.9935895,0.9935895,0.9887423404
n6vfdm4,LABEL_1,not sarcastic,0.0012305874,0.9947897,0.0039796936,0.0006163706,neutral,0.0027491061999999995,0.0006163706,0.9947897,0.9947897,0.9908100064
n6v5k3v,LABEL_1,not sarcastic,0.0008492373,0.9939178,0.005232823,0.0025038656,neutral (sarcastic unclear),0.0043835857,0.0025038656,0.9939178,0.9939178,0.9886849769999999
n6uu6gz,LABEL_1,not sarcastic,0.00086050585,0.99016094,0.008978571,0.002342798,positive,0.00811806515,0.002342798,0.99016094,0.99016094,0.981182369
n6sh8h9,LABEL_1,sarcastic,0.001542124,0.9943697,0.0040881573,0.97682345,neutral (sarcastic unclear),0.0025460333,0.97682345,0.9943697,0.9943697,0.9902815427
n6siduh,LABEL_1,not sarcastic,0.0026318468,0.9910942,0.0062740054,0.0092347,neutral,0.0036421586,0.0092347,0.9910942,0.9910942,0.9848201946
n6sj3v4,LABEL_1,not sarcastic,0.002711343,0.9240514,0.07323725,0.0024922688,neutral,0.070525907,0.0024922688,0.9240514,0.9240514,0.8508141499999999
n6tuz74,LABEL_2,not sarcastic,0.00716378,0.35840914,0.6344271,0.0017512818,neutral,0.6272633200000001,0.0017512818,0.6344271,0.35840914,0.27601796
n6siwal,LABEL_0,not sarcastic,0.85395175,0.13718987,0.008858374,0.0007255929,neutral,-0.845093376,0.0007255929,0.85395175,0.13718987,0.71676188
n6sjd50,LABEL_1,sarcastic,0.005663132,0.9352232,0.059113715,0.9969025,neutral (sarcastic unclear),0.053450582999999996,0.9969025,0.9352232,0.9352232,0.8761094850000001
n6sknzg,LABEL_1,not sarcastic,0.0065005105,0.98960996,0.0038895414,0.0007165969,neutral,-0.0026109691,0.0007165969,0.98960996,0.98960996,0.9831094495
n6jcie7,LABEL_1,sarcastic,0.0015450486,0.99442816,0.0040268153,0.95641327,neutral (sarcastic unclear),0.0024817667,0.95641327,0.99442816,0.99442816,0.9904013447
n6jjezs,LABEL_1,not sarcastic,0.0010235535,0.9941468,0.00482963,0.0014545864,neutral,0.0038060765,0.0014545864,0.9941468,0.9941468,0.98931717
n6jw0kf,LABEL_0,not sarcastic,0.9787754,0.0168817,0.004342952,0.0008307845,neutral,-0.974432448,0.0008307845,0.9787754,0.0168817,0.9618937
n6lhnx1,LABEL_0,not sarcastic,0.929836,0.0601979,0.009966232,0.0015996798,positive,-0.919869768,0.0015996798,0.929836,0.0601979,0.8696381
n6jtzps,LABEL_0,not sarcastic,0.96935004,0.024738492,0.005911469,0.0019905367,neutral,-0.9634385710000001,0.0019905367,0.96935004,0.024738492,0.944611548
n6k1mrr,LABEL_0,sarcastic,0.93993926,0.054101527,0.005959275,0.999159,neutral (sarcastic unclear),-0.933979985,0.999159,0.93993926,0.054101527,0.885837733
n6kcbim,LABEL_1,not sarcastic,0.0008530784,0.99587137,0.0032755304,0.0021106016,neutral,0.0024224520000000003,0.0021106016,0.99587137,0.99587137,0.9925958396000001
n6fqokw,LABEL_1,sarcastic,0.0015355372,0.99437696,0.004087423,0.9709957,neutral (sarcastic unclear),0.0025518857999999997,0.9709957,0.99437696,0.99437696,0.990289537
n6fr6oq,LABEL_1,not sarcastic,0.0018522382,0.967561,0.030586652,0.0013292333,neutral,0.028734413799999997,0.0013292333,0.967561,0.967561,0.936974348
n6frj4r,LABEL_1,not sarcastic,0.0017470034,0.995285,0.0029680284,0.00096335367,positive,0.001221025,0.00096335367,0.995285,0.995285,0.9923169716
n6fza0o,LABEL_1,sarcastic,0.013072955,0.98243076,0.004496238,0.99662554,positive (sarcastic bullish),-0.008576717000000001,0.99662554,0.98243076,0.98243076,0.9693578049999999
n6fs0uz,LABEL_1,not sarcastic,0.0044299387,0.98248845,0.013081661,0.003074227,neutral,0.0086517223,0.003074227,0.98248845,0.98248845,0.969406789
n6frl7o,LABEL_1,not sarcastic,0.003163966,0.99137515,0.0054609543,0.004680556,neutral (sarcastic unclear),0.0022969883000000003,0.004680556,0.99137515,0.99137515,0.9859141956999999
n6fth0c,LABEL_1,not sarcastic,0.0019598512,0.9911459,0.0068942537,0.0013727875,neutral,0.004934402500000001,0.0013727875,0.9911459,0.9911459,0.9842516463000001
n6ft4ai,LABEL_1,not sarcastic,0.0016823144,0.9953027,0.003015033,0.00092108164,neutral,0.0013327185999999999,0.00092108164,0.9953027,0.9953027,0.992287667
n6fx4fd,LABEL_1,not sarcastic,0.002826584,0.991204,0.0059693814,0.20817596,neutral,0.0031427974000000003,0.20817596,0.991204,0.991204,0.9852346186
n6fmdk2,LABEL_1,sarcastic,0.0015247023,0.9946055,0.0038697412,0.9225479,neutral (sarcastic unclear),0.0023450388999999997,0.9225479,0.9946055,0.9946055,0.9907357588
n6fmwkg,LABEL_1,not sarcastic,0.0017071847,0.99433976,0.003953136,0.0024830017,neutral,0.0022459513,0.0024830017,0.99433976,0.99433976,0.990386624
n6j4cbf,LABEL_1,not sarcastic,0.002555582,0.9919242,0.0055202446,0.0016542769,neutral,0.0029646626,0.0016542769,0.9919242,0.9919242,0.9864039554
n6g7aww,LABEL_1,not sarcastic,0.0010053337,0.9964135,0.0025810883,0.0013837024,positive,0.0015757546000000002,0.0013837024,0.9964135,0.9964135,0.9938324116999999
n6g8ylx,LABEL_0,not sarcastic,0.96941066,0.025345761,0.0052435608,0.0012473512,neutral,-0.9641670992,0.0012473512,0.96941066,0.025345761,0.944064899
n6fnup5,LABEL_1,not sarcastic,0.0026914005,0.9913728,0.0059357616,0.007745445,neutral,0.0032443610999999995,0.007745445,0.9913728,0.9913728,0.9854370384000001
